Time,Converged Residual,Interface,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Dynamic Pressure (kg/ms^2)
0.085,5.213497951997038e-15,INTER2,1.5665747775606216,133918.44298740465,18.953284645316177,288.12848836608345,0.000347600270272045,281.3779779057671
0.085,5.213497951997038e-15,INTER3,1.2133650304826717,103740.72455818765,24.470573101541056,288.1492193708404,0.0003476002702720506,363.28691867182823
0.085,5.213497951997038e-15,INTER4,1.1851068554713948,101325.39296,9.261583853017362,288.14921937083795,0.0003476002702720534,50.827417131321646
0.09000000000000001,5.069184083091275e-15,INTER1,1.5881521879628564,135761.67841145408,18.694875417215375,288.12722344937566,0.0003475835248599667,277.52829801320917
0.09000000000000001,5.069184083091275e-15,INTER2,1.5665589695503213,133916.50224922734,18.952562830153912,288.1272234493683,0.0003475835248599669,281.3537072516365
0.09000000000000001,5.069184083091275e-15,INTER3,1.2133677895613804,103740.50615521405,24.469338606950195,288.1479610132885,0.00034758352485997243,363.25109130400557
0.09000000000000001,5.069184083091275e-15,INTER4,1.185112045667441,101325.39296,9.261097123232927,288.14796101328596,0.0003475835248599751,50.82229751804385
0.09500000000000001,5.161944906818602e-15,INTER1,1.5881348087866127,135759.5953107049,18.694179370097945,288.12595858526356,0.0003475667801683967,277.50459577439966
0.09500000000000001,5.161944906818602e-15,INTER2,1.566543162280924,133914.56161082085,18.951841030747886,288.1259585852562,0.0003475667801683969,281.3294384470658
0.09500000000000001,5.161944906818602e-15,INTER3,1.213370548670762,103740.28777130091,24.468104168077566,288.1467027070191,0.0003475667801684025,363.21526728203236
0.09500000000000001,5.161944906818602e-15,INTER4,1.1851172356975639,101325.39296,9.260610418205587,288.1467027070166,0.00034756678016840514,50.817178403327006
