Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,0.3941996538803355,INTER1,42.01785313005037,5214594.054898473,100.10224708644564,410.71769617980124,0.049240468431380156,N/A,210519.10559349958
0.0,0.3941996538803355,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996538803355,INTER2,2.086220727306673,95049.47778106337,912.6656231227215,154.27771062467724,0.02229032696442088,N/A,868867.6851815864
0.0,0.3941996538803355,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996530869524,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.3941996530869524,INTER1,42.01785313005037,5214594.13260198,100.10224559480595,410.717701983941,0.049240467697640004,N/A,210519.0993195415
0.0,0.3941996530869524,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996530869524,INTER2,2.086220727306673,95049.47778106337,912.6656231227215,154.27771062467724,0.02229032696442088,N/A,868867.6851815864
0.0,0.3941996530869524,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996471966988,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.3941996471966988,INTER1,42.01785313005037,5214594.054898473,100.10224559480595,410.71769617980124,0.049240467697640004,N/A,210519.0993195415
0.0,0.3941996471966988,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996471966988,INTER2,2.0862207583937846,95049.47778106337,912.6656231227215,154.27770836228126,0.022290327296572637,N/A,868867.6981287239
0.0,0.3941996471966988,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996480580435,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.3941996480580435,INTER1,42.01785313005037,5214594.054898473,100.10224559480595,410.71769617980124,0.049240467697640004,N/A,210519.0993195415
0.0,0.3941996480580435,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996480580435,INTER2,2.086220727306673,95049.47778106337,912.6656367224991,154.27771062467724,0.022290327296572637,N/A,868867.7110758615
0.0,0.3941996480580435,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.39419964959111387,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.39419964959111387,INTER1,42.01785313005037,5214594.054898473,100.10224559480595,410.71769617980124,0.049240467697640004,N/A,210519.0993195415
0.0,0.39419964959111387,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
