Time,Converged Residual,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
5.1999999999999975,8.637707821896158e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.299999999999997,1.9603753373607536e-07,Pressurant Tank,0.17686264598805607,6996345.722227622,117.90843065870405,218.26645414611087
5.299999999999997,1.9603753373607536e-07,critical_orifice,N/A,N/A,N/A,N/A
5.299999999999997,1.9603753373607536e-07,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.399999999999997,2.463082623538016e-08,Pressurant Tank,0.17686076538499265,6996218.971922625,117.90717692332844,218.26517688316147
5.399999999999997,2.463082623538016e-08,critical_orifice,N/A,N/A,N/A,N/A
5.399999999999997,2.463082623538016e-08,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.4999999999999964,3.201227469730056e-08,Pressurant Tank,0.17685979994929532,6996153.903117781,117.90653329953021,218.26452117690357
5.4999999999999964,3.201227469730056e-08,critical_orifice,N/A,N/A,N/A,N/A
5.4999999999999964,3.201227469730056e-08,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.599999999999996,2.1580566059140465e-09,Pressurant Tank,0.17685930467200048,6996120.522323552,117.90620311466698,218.26418479251538
5.599999999999996,2.1580566059140465e-09,critical_orifice,N/A,N/A,N/A,N/A
5.599999999999996,2.1580566059140465e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.699999999999996,1.0806223154555995e-09,Pressurant Tank,0.17685905068044286,6996103.403776648,117.9060337869619,218.26401228523383
5.699999999999996,1.0806223154555995e-09,critical_orifice,N/A,N/A,N/A,N/A
5.699999999999996,1.0806223154555995e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.799999999999995,1.2781541412604657e-09,Pressurant Tank,0.1768589204504933,6996094.626532794,117.90594696699554,218.2639238349155
5.799999999999995,1.2781541412604657e-09,critical_orifice,N/A,N/A,N/A,N/A
5.799999999999995,1.2781541412604657e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.899999999999995,1.7780584725763681e-06,Pressurant Tank,0.17685885368349694,6996090.126569561,117.90590245566462,218.26387848770665
5.899999999999995,1.7780584725763681e-06,critical_orifice,N/A,N/A,N/A,N/A
5.899999999999995,1.7780584725763681e-06,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.999999999999995,1.3964622902143583e-07,Pressurant Tank,0.1768588048811112,6996086.837386223,117.9058699207408,218.2638453418012
5.999999999999995,1.3964622902143583e-07,critical_orifice,N/A,N/A,N/A,N/A
5.999999999999995,1.3964622902143583e-07,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
